"PragmaGo Calculator (Product)","Kalkulator PragmaGo (Produkt)"
"Displays the PragmaGo calculator using product price.","Wyświetla kalkulator PragmaGo używając ceny produktu."
"Product ID (optional)","ID Produktu (opcjonalne)"
"Template","Szablon"
"Default Template","Domyślny Szablon"
"PragmaGo Calculator (Cart)","Kalkulator PragmaGo (Koszyk)"
"Displays the PragmaPay calculator on checkout/cart page.","Wyświetla kalkulator PragmaPay na stronie koszyka/checkout."
"Calculate PragmaPay installments","Oblicz raty PragmaPay"
