"PragmaGO Calculator (Product)","Kalkulator PragmaGO (Produkt)"
"Displays the PragmaGO calculator using product price.","Wyświetla kalkulator PragmaGO używając ceny produktu."
"Product ID (optional)","ID Produktu (opcjonalne)"
"Template","Szablon"
"Default Template","Domyślny Szablon"
"PragmaGO Calculator (Cart)","Kalkulator PragmaGO (Koszyk)"
"Displays the PragmaPay calculator on checkout/cart page.","Wyświetla kalkulator PragmaPay na stronie koszyka/checkout."
"Calculate PragmaPay installments","Oblicz raty PragmaPay"
